"category_name","category_group","cat_priority"
"dermatologist doctors","Doctors","0"
"pediatrician doctors","Doctors","2"
"gynaecologist doctors","Doctors","2"
"orthopaedic surgeons","Doctors","3"
"urologist doctors","Doctors","3"
"endocrinologists","Doctors","3"
"kidney specialist doctors","Doctors","2"
"cardiologists","Doctors","3"
"psychiatrists","Doctors","3"
"gastroenterologists","Doctors","2"
"ent doctors","Doctors","2"
"counseling centre","Health","1"
"24 hour medical shops","Health","0"
"ayurvedic clinics","Health","3"
"veterinary hospitals","Health","0"
"homeopathic clinics","Health","1"
"physiotherapy","Health","0"
"eye hospitals","Health","2"
"24 hour blood banks","Health","0"
"dental clinics","Health","3"
"fertility clinics","Health","1"
"patent lawyers","Professional Services","0"
"property case lawyers","Professional Services","0"
"criminal case lawyers","Professional Services","0"
"divorce lawyers","Professional Services","0"
"consumer court lawyers","Professional Services","0"
"financial case lawyers","Professional Services","0"
"chartered accountants","Professional Services","0"
"real estate agents","Professional Services","0"
"interior designers","Professional Services","1"
"building architects","Professional Services","0"
"photographers","Professional Services","0"
"old age homes","Local Businesses","2"
"budget hotels","Local Businesses","0"
"5 star hotels","Local Businesses","0"
"4 star hotels","Local Businesses","0"
"3 star hotels","Local Businesses","0"
"printing companies","Local Businesses","0"
"women hostels","Local Businesses","0"
"web designers","Professional Services","0"
"advertisement agencies","Professional Services","0"
"packers and movers","Local Businesses","0"
"travel agents","Local Businesses","2"
"cbse schools","Education","0"
"montessori schools","Education","0"
"arts colleges","Education","0"
"engineering colleges","Education","0"
"medical colleges","Education","0"
"coaching classes","Education","0"
"dance schools","Education","0"
"libraries","Education","2"
"primary schools","Education","0"
"boarding schools","Education","2"
"music schools","Education","0"
"appliance stores","Shopping","0"
"flowers shops","Shopping","0"
"supermarkets","Shopping","0"
"jewellery shops","Shopping","2"
"furniture stores","Shopping","2"
"motorcycle dealers","Shopping","0"
"used car dealers","Shopping","0"
"book stores","Shopping","0"
"mobile stores","Shopping","0"
"clothing stores","Shopping","2"
"sports shops","Shopping","0"
"movie theatres","Entertainment","2"
"shopping malls","Shopping","2"
"tourist attractions","Entertainment","0"
"temples","Entertainment","0"
"banquet halls","Entertainment","0"
"art galleries","Entertainment","0"
"beauty parlours","Entertainment","2"
"amusement parks","Entertainment","2"
"public parks","Entertainment","0"
"plumbing services","Local Services","0"
"electricians","Local Services","0"
"air conditioning services","Local Services","0"
"Carpentry Services","Local Services","0"
"pest control services","Local Services","0"
"courier services","Local Services","0"
"construction companies","Local Services","0"
"painting services","Local Services","0"
"computer repair services","Local Services","0"
"cleaning services","Local Services","0"
"tattoo shops","Shopping","2"
"cake shops","Food","2"
"catering services","Food","0"
"italian restaurants","Food","0"
"pure vegetarian restuarants","Food","0"
"non veg restuarants","Food","2"
"pizza outlets","Food","0"
"chinese restaurants","Food","0"
"buffet restaurants","Food","2"
"sweet shops","Food","2"
"cafes","Food","0"
"fresh juice shops","Food","0"
"swimming pools","Entertainment","2"
"diabetologist doctors","Doctors","3"
"wedding planners","Local Services","0"
"cell phone repair","Local Services","0"
"gift shops","Shopping","0"
"videographers","Professional Services","0"
"hair transplant surgeons","Doctors","0"
"plastic surgeons","Doctors","0"
"gym","Education","0"
"occupational therapists","Health","1"
"fast food restaurants","Food","0"
"museums","Entertainment","0"
"wedding photographers","Professional Services","0"
"invitation cards","Shopping","0"
"astrologers","Professional Services","3"
"car repair shops","Local Services","0"
"motorcycle repair shops","Local Services","0"
"neurologist doctors","Doctors","3"
"pathologist doctors","Doctors","0"
"anesthesiologist doctors","Doctors","0"
"ophthalmologists","Doctors","1"
"recruitment agencies","Local Businesses","0"
"matrimonial bureaus","Local Businesses","0"
"cab services","Local Services","0"
"rheumatologist doctors","Doctors","2"
"event management companies","Entertainment","0"
"pulmonologists","Doctors","3"
"storage units","Local Businesses","0"
"neurosurgeons","Doctors","3"
"massage therapy","Health","2"
"orthodontists","Health","1"
"corporate lawyers","Professional Services","0"
"multispeciality hospitals","Health","0"
"play schools","Education","0"
"neet coaching","Education","0"
"yoga classes","Education","0"
"tiles stores","Shopping","0"
"martial arts school","Education","0"
"security services","Local Services","0"
"oncologists","Doctors","0"
"tailors","Local Services","0"
"opticals","Shopping","0"
"pet shops","Shopping","0"
"driving schools","Education","0"
"addiction treatment centres","Health","0"
"diagnostic centres","Health","0"
"general physicians","Doctors","0"
"weight loss centres","Health","0"
"tiffin services","Food","0"
"vascular surgeon","Doctors","0"
